empresa_base,ticker_on,ticker_pn,numero_sinais,taxa_reversao,tempo_medio_reversao,ganho_medio_estimado,ganho_medio_acoes,custo_medio,imposto_medio,score_final,recomendacao
RAPT,RAPT3,RAPT4,2,1.0,2.0,690.17,135.15,104.0,140.14,230.0567,RECOMENDADO
PINE,PINE3,PINE4,3,1.0,5.33,1178.52,82.35,104.0,226.33,186.1801,RECOMENDADO
GOAU,GOAU3,GOAU4,2,1.0,6.0,653.29,65.7,104.0,133.64,93.3271,RECOMENDADO
BRKM,BRKM3,BRKM5,2,1.0,12.5,999.11,97.1,104.0,194.66,74.0081,RECOMENDADO
GGBR,GGBR3,GGBR4,1,1.0,9.0,735.08,43.73,104.0,148.07,73.508,NEUTRO
SAPR,SAPR3,SAPR4,1,1.0,16.0,747.65,103.55,104.0,150.29,43.9794,NEUTRO
KLBN,KLBN3,KLBN4,4,1.0,6.5,315.96,89.75,104.0,74.11,42.128,RECOMENDADO
TAEE,TAEE3,TAEE4,4,1.0,3.25,164.73,12.08,104.0,47.42,38.76,RECOMENDADO
USIM,USIM3,USIM5,2,0.5,6.0,160.09,22.94,104.0,46.61,11.435,NEUTRO
ITSA,ITSA3,ITSA4,3,1.0,7.67,78.3,5.9,104.0,32.17,9.0311,RECOMENDADO
BBDC,BBDC3,BBDC4,1,1.0,9.0,76.4,4.64,104.0,31.83,7.64,NEUTRO
PETR,PETR3,PETR4,2,1.0,23.5,147.15,2.78,104.0,44.33,6.0061,RECOMENDADO
BRAP,BRAP3,BRAP4,1,1.0,12.0,69.11,2.92,104.0,30.55,5.3162,NEUTRO
ALPA,ALPA3,ALPA4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EVITAR
SANB,SANB3,SANB4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EVITAR
CMIG,CMIG3,CMIG4,2,1.0,24.0,-13.15,-0.73,104.0,16.04,-0.526,EVITAR
ITUB,ITUB3,ITUB4,2,0.5,42.0,-104.0,-2.55,104.0,0.0,-1.2093,EVITAR
