ticker,nome_empresa
ITSA3,Itausa
ITSA4,Itausa
PETR3,Petrobras
PETR4,Petrobras
BBDC3,Banco Bradesco
BBDC4,Banco Bradesco
ITUB3,Itau Unibanco
ITUB4,Itau Unibanco
GGBR3,Gerdau
GGBR4,Gerdau
GOAU3,Metalurgica Gerdau
GOAU4,Metalurgica Gerdau
CMIG3,Cemig
CMIG4,Cemig
BRKM3,Braskem
BRKM5,Braskem
KLBN3,Klabin
KLBN4,Klabin
ELET3,Eletrobras
ELET6,Eletrobras
USIM3,Usiminas
USIM5,Usiminas
BRAP3,Bradespar
BRAP4,Bradespar
SAPR3,Sanepar
SAPR4,Sanepar
TAEE3,Taesa
TAEE4,Taesa
ALPA3,Alpargatas
ALPA4,Alpargatas
RAPT3,Randon
RAPT4,Randon
CPLE3,Copel
CPLE6,Copel
SANB3,Banco Santander Brasil
SANB4,Banco Santander Brasil
PINE3,Banco Pine
PINE4,Banco Pine
SUZB3,Suzano
VALE3,Vale
BBAS3,Banco do Brasil
WEGE3,WEG
ABEV3,Ambev
MGLU3,Magazine Luiza
