ticker,ticker_yahoo,nome_empresa,empresa_base,final_ticker,tipo_ativo,is_on,is_pn,is_unit,is_fii,is_etf,is_bdr,fonte
LREN3,LREN3.SA,LOJAS RENNER S.A.,LREN,3,ON,True,False,False,False,False,False,brapi
PETR4,PETR4.SA,PETROLEO BRASILEIRO S.A. PETROBRAS,PETR,4,PN,False,True,False,False,False,False,brapi
CSAN3,CSAN3.SA,COSAN S.A.,CSAN,3,ON,True,False,False,False,False,False,brapi
COGN3,COGN3.SA,COGNA EDUCAÇÃO S.A.,COGN,3,ON,True,False,False,False,False,False,brapi
SAUD3,SAUD3.SA,SAUD3,SAUD,3,ON,True,False,False,False,False,False,brapi
CMIG4,CMIG4.SA,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG,4,PN,False,True,False,False,False,False,brapi
ITUB4,ITUB4.SA,ITAU UNIBANCO HOLDING S.A.,ITUB,4,PN,False,True,False,False,False,False,brapi
MGLU3,MGLU3.SA,MAGAZINE LUIZA S.A.,MGLU,3,ON,True,False,False,False,False,False,brapi
CPLE3,CPLE3.SA,CIA PARANAENSE DE ENERGIA - COPEL,CPLE,3,ON,True,False,False,False,False,False,brapi
ITSA4,ITSA4.SA,ITAUSA S.A.,ITSA,4,PN,False,True,False,False,False,False,brapi
ABEV3,ABEV3.SA,AMBEV S.A.,ABEV,3,ON,True,False,False,False,False,False,brapi
ANIM3,ANIM3.SA,ANIMA HOLDING S.A.,ANIM,3,ON,True,False,False,False,False,False,brapi
BBAS3,BBAS3.SA,BCO BRASIL S.A.,BBAS,3,ON,True,False,False,False,False,False,brapi
VALE3,VALE3.SA,VALE S.A.,VALE,3,ON,True,False,False,False,False,False,brapi
DIRR3,DIRR3.SA,DIRECIONAL ENGENHARIA S.A.,DIRR,3,ON,True,False,False,False,False,False,brapi
BBDC4,BBDC4.SA,BCO BRADESCO S.A.,BBDC,4,PN,False,True,False,False,False,False,brapi
CSNA3,CSNA3.SA,CIA SIDERURGICA NACIONAL,CSNA,3,ON,True,False,False,False,False,False,brapi
RADL3,RADL3.SA,RAIA DROGASIL S.A.,RADL,3,ON,True,False,False,False,False,False,brapi
VAMO3,VAMO3.SA,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,VAMO,3,ON,True,False,False,False,False,False,brapi
BEEF3,BEEF3.SA,MINERVA S.A.,BEEF,3,ON,True,False,False,False,False,False,brapi
SBSP3,SBSP3.SA,CIA SANEAMENTO BASICO EST SAO PAULO,SBSP,3,ON,True,False,False,False,False,False,brapi
BBSE3,BBSE3.SA,BB SEGURIDADE PARTICIPAÇÕES S.A.,BBSE,3,ON,True,False,False,False,False,False,brapi
AZZA3,AZZA3.SA,AZZAS 2154 S.A.,AZZA,3,ON,True,False,False,False,False,False,brapi
ALOS3,ALOS3.SA,ALLOS S.A,ALOS,3,ON,True,False,False,False,False,False,brapi
BRKM5,BRKM5.SA,BRASKEM S.A.,BRKM,5,PN,False,True,False,False,False,False,brapi
CVCB3,CVCB3.SA,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,CVCB,3,ON,True,False,False,False,False,False,brapi
RAIL3,RAIL3.SA,RUMO S.A.,RAIL,3,ON,True,False,False,False,False,False,brapi
ASAI3,ASAI3.SA,SENDAS DISTRIBUIDORA S.A.,ASAI,3,ON,True,False,False,False,False,False,brapi
SMFT3,SMFT3.SA,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT,3,ON,True,False,False,False,False,False,brapi
NATU3,NATU3.SA,NATURA COSMETICOS S.A.,NATU,3,ON,True,False,False,False,False,False,brapi
AMBP3,AMBP3.SA,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP,3,ON,True,False,False,False,False,False,brapi
GGBR4,GGBR4.SA,GERDAU S.A.,GGBR,4,PN,False,True,False,False,False,False,brapi
ONCO3,ONCO3.SA,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A.,ONCO,3,ON,True,False,False,False,False,False,brapi
USIM5,USIM5.SA,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIM,5,PN,False,True,False,False,False,False,brapi
CMIN3,CMIN3.SA,CSN MINERAÇÃO S.A.,CMIN,3,ON,True,False,False,False,False,False,brapi
RENT3,RENT3.SA,LOCALIZA RENT A CAR S.A.,RENT,3,ON,True,False,False,False,False,False,brapi
CYRE3,CYRE3.SA,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,CYRE,3,ON,True,False,False,False,False,False,brapi
MOTV3,MOTV3.SA,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,MOTV,3,ON,True,False,False,False,False,False,brapi
CEAB3,CEAB3.SA,CEA MODAS S.A.,CEAB,3,ON,True,False,False,False,False,False,brapi
CSMG3,CSMG3.SA,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,CSMG,3,ON,True,False,False,False,False,False,brapi
RCSL4,RCSL4.SA,RECRUSUL S.A.,RCSL,4,PN,False,True,False,False,False,False,brapi
PRIO3,PRIO3.SA,PRIO S.A.,PRIO,3,ON,True,False,False,False,False,False,brapi
RAIZ4,RAIZ4.SA,RAIZEN S.A.,RAIZ,4,PN,False,True,False,False,False,False,brapi
GOAU4,GOAU4.SA,METALURGICA GERDAU S.A.,GOAU,4,PN,False,True,False,False,False,False,brapi
KLBN4,KLBN4.SA,KLABIN S.A.,KLBN,4,PN,False,True,False,False,False,False,brapi
AXIA3,AXIA3.SA,AXIA3,AXIA,3,ON,True,False,False,False,False,False,brapi
